"","Stage1","Stage3","Stage5","Stage7","cluster"
"FakeGeneID022332",0.763102502727232,0.925279448140285,-1.04973299699774,-0.638648953869775,8
"FakeGeneID005138",-1.08365002711772,-0.702234861536892,0.833271655886953,0.952613232767654,9
"FakeGeneID000287",-1.06994381444072,-0.760423301947581,0.79592191806872,1.03444519831959,9
"FakeGeneID005350",0.995460776819571,0.839170955535577,-0.900965802022739,-0.933665930332408,8
"FakeGeneID009293",0.924715015862029,0.865886012230871,-1.03535295044039,-0.755248077652508,8
"FakeGeneID027315",0.900315771759165,0.871224243195456,-1.12993751337849,-0.641602501576128,8
"FakeGeneID000105",-1.22178856882087,-0.317941070115207,0.705053529020869,0.834676109915211,9
"FakeGeneID017960",0.826280097202162,0.972227213536113,-0.849034109383846,-0.949473201354426,8
"FakeGeneID005841",1.06009161370753,0.790125350013631,-0.846243190150682,-1.00397377357048,8
"FakeGeneID025679",-0.761320986041532,-1.0584791723302,0.808587044115404,1.01121311425632,3
"FakeGeneID009480",0.897018285427734,0.941800768138615,-0.736223596231275,-1.10259545733508,1
"FakeGeneID022227",-0.873868568767247,-0.749856499926985,0.978083949908159,0.645641118786072,7
"FakeGeneID017682",0.959257894292126,0.843092985433367,-0.989383908174029,-0.812966971551463,8
"FakeGeneID025667",0.87943461637387,0.843347532840148,-0.780483582336639,-0.942298566877378,1
"FakeGeneID020338",-0.831043681781144,-1.00274914229745,0.993594946277672,0.840197877800925,7
"FakeGeneID033362",0.804519988931865,0.956179333740409,-0.888961315618271,-0.871738007054004,8
"FakeGeneID026314",0.92377394278859,0.885578133961501,-0.79050199122523,-1.01885008552486,1
"FakeGeneID036737",1.08949821860328,0.54124067301266,-0.915507202408754,-0.71523168920719,8
"FakeGeneID005836",-0.674528286164687,-0.999742860664381,1.04958614628691,0.624685000542155,7
"FakeGeneID032898",-0.388365771992483,-1.22316037364846,1.14319875636802,0.468327389272923,4
"FakeGeneID029671",-0.972098794185648,-0.694644602095569,0.446575191755581,1.22016820452564,9
"FakeGeneID020799",-0.822885826956049,-0.777297328360601,0.873464621272656,0.726718534043995,7
"FakeGeneID016677",0.977999716220525,0.830798146767887,-0.781629526262383,-1.02716833672603,1
"FakeGeneID033385",0.725907906484404,0.949165030109165,-0.322526869109924,-1.35254606748365,1
"FakeGeneID011561",-1.06950957260848,-0.252767971324991,0.428576153026605,0.893701390906867,9
"FakeGeneID033247",0.796260134831864,1.02734701565009,-0.741308716747283,-1.08229843373467,1
"FakeGeneID016912",0.882600544328227,0.644623375224074,-1.24333828902749,-0.283885630524808,5
"FakeGeneID005370",-0.705748808912654,-1.09176720088006,0.94888960272923,0.848626407063482,7
"FakeGeneID031257",-1.0271154410241,-0.76682247560996,0.940297440785065,0.853640475848996,7
"FakeGeneID033399",0.814443817985491,0.806270736911917,-0.276464368155018,-1.34425018674239,1
"FakeGeneID029897",0.814453902157093,0.460727759710026,0.0241747839427515,-1.29935644580987,2
"FakeGeneID023746",-0.81879806014107,-0.939588842188273,0.957770125956753,0.800616776372591,7
"FakeGeneID022608",-0.794460091769006,0.0936680490005299,-0.026059316659623,0.726851359428097,6
"FakeGeneID004694",-1.17770635879421,-0.45649854752125,0.960262608086703,0.673942298228758,9
"FakeGeneID014365",-0.87652166221793,-0.772819437388041,0.789749849095759,0.859591250510213,7
"FakeGeneID010377",0.921236763628426,0.904410365938132,-0.995410661167695,-0.830236468398864,8
"FakeGeneID009211",0.911911899539972,0.832290500663505,-0.748427413013973,-0.995774987189503,1
"FakeGeneID014162",-0.804786023566282,-0.873010336132096,0.949622646495775,0.728173713202602,7
"FakeGeneID000306",0.744160874403841,0.564288631771646,0.0586307669455214,-1.36708027312101,2
"FakeGeneID020729",0.76089207104287,1.01668739235379,-0.801574751831175,-0.976004711565479,1
"FakeGeneID035286",0.829116790019565,0.813589574534611,-0.922170203588767,-0.720536160965407,8
"FakeGeneID002168",0.834259125636741,0.998828010934856,-1.022629226132,-0.810457910439601,8
"FakeGeneID037315",0.823039742988137,0.985502192480307,-0.97311659405805,-0.835425341410395,8
"FakeGeneID030262",-0.892617421031618,-0.940647810130219,0.820315320621328,1.01294991054051,7
"FakeGeneID018704",1.16422459994104,-0.259558672076251,-1.10113831546576,0.19647238760097,5
"FakeGeneID005301",-0.651315945056022,-0.996881587642206,0.528716968105544,1.11948056459268,3
"FakeGeneID019007",-1.15337616360312,-0.297701766523193,0.204168483820479,1.24690944630583,6
"FakeGeneID004844",0.953275471608027,0.722148312022458,-0.8652251028264,-0.810198680804086,8
"FakeGeneID036672",-0.353417267965368,-1.14142204094357,1.1100907745144,0.384748534394541,4
"FakeGeneID001955",1.09991547184026,0.699154744886196,-0.979536676930218,-0.819533539796233,8
"FakeGeneID032615",-1.01642450518134,-0.665172635659939,0.775824095608739,0.905773045232541,9
"FakeGeneID020532",0.803134891803404,0.978420574346102,-1.15250510562141,-0.629050360528096,8
"FakeGeneID000662",0.892681786033587,0.920158608484883,-1.08840499351272,-0.724435401005747,8
"FakeGeneID015788",0.728748026525495,0.556124011430598,-0.794935699148598,-0.489936338807494,8
"FakeGeneID005861",0.96694407483706,0.843979929021657,-1.09028660407476,-0.720637399783955,8
"FakeGeneID036857",0.899845753743514,0.8874833114304,-0.833385840990228,-0.953943224183686,8
"FakeGeneID018976",-0.919488851130244,-0.885972342802305,0.961154823345411,0.844306370587138,7
"FakeGeneID027319",0.828067700142552,0.887890503055921,-0.865860596891857,-0.850097606306616,8
"FakeGeneID009915",0.983814423320845,0.794551624869607,-0.669544071669711,-1.10882197652074,1
"FakeGeneID005074",-0.880458588669656,-0.85521157349011,0.578358750376502,1.15731141178326,3
"FakeGeneID033172",0.982414155467883,0.856180930823472,-1.06678297232176,-0.771812113969597,8
"FakeGeneID000660",0.372940965632611,0.803229082276344,-1.06360147490745,-0.112568573001503,5
"FakeGeneID001585",1.19563259827306,0.545398799288125,-0.772632894046035,-0.968398503515149,1
"FakeGeneID009278",-0.762172400629457,-0.945388360221221,1.11688871481226,0.590672046038419,7
"FakeGeneID027630",1.00864780010516,0.788308121647311,-1.08814640129242,-0.70880952046005,8
"FakeGeneID001279",-0.692996236727036,-1.10398945444367,0.785397857314743,1.01158783385597,3
"FakeGeneID022426",-0.909689062635401,-0.580883673543379,0.976812327291694,0.513760408887087,4
"FakeGeneID011341",0.708228824976333,-0.155245971290127,0.799800608899986,-1.35278346258619,2
"FakeGeneID005624",-0.472202045055886,-1.13614878503432,0.704751641990006,0.903599188100204,3
"FakeGeneID030264",0.605876505169037,1.15024861325784,-0.827213383835793,-0.92891173459109,1
"FakeGeneID003659",-0.443673286662865,-0.969545402789435,0.00161425159919959,1.4116044378531,6
"FakeGeneID036560",-0.983568684479405,-0.670198310357331,0.923628662306323,0.730138332530413,7
"FakeGeneID006125",0.782584861410466,1.07154614257071,-0.870058824392385,-0.984072179588791,8
"FakeGeneID024293",-0.932985053177493,-0.846296489920174,0.675758855009427,1.10352268808824,9
"FakeGeneID029363",-0.633273159707378,-0.912091930597498,0.216211081988765,1.32915400831611,3
"FakeGeneID030091",0.919398661181815,0.935533765473303,-0.882061078853593,-0.972871347801526,8
"FakeGeneID023475",0.843978353884214,0.74628275226387,-0.601325840076554,-0.98893526607153,1
"FakeGeneID010910",1.24909138924216,0.470481230286499,-0.788034239906132,-0.931538379622526,8
"FakeGeneID016703",0.878012266393446,0.69608082015157,-1.41281372359266,-0.16127936295236,5
"FakeGeneID013303",0.954075612178663,0.634724062450595,-1.30523321254548,-0.28356646208378,5
"FakeGeneID024310",1.14318999141706,0.438447732866048,-0.358524858016335,-1.22311286626677,2
"FakeGeneID015824",-0.929454739678474,-0.935949598280161,0.977043550211976,0.888360787746659,7
"FakeGeneID025078",0.0986533961151674,0.961069545333193,-0.702467936735675,-0.357255004712686,5
"FakeGeneID001900",0.395830598476877,1.00750416798732,-0.449864207289229,-0.953470559174962,1
"FakeGeneID005580",-0.980860626817889,-0.702143833342789,0.936275864679711,0.746728595480967,7
"FakeGeneID005346",-0.676452608029209,-0.935254804623184,1.12602506806525,0.485682344587144,4
"FakeGeneID016826",0.814860109045224,0.975850038422875,-0.811953800214395,-0.978756347253706,1
"FakeGeneID031219",-0.133016594459916,-1.24594218376541,0.760228980902963,0.618729797322363,3
"FakeGeneID004601",-0.958681460766387,-0.581817075880012,0.218281942919107,1.32221659372729,6
"FakeGeneID034684",-1.06686809865428,-0.560944486892791,0.989448425190917,0.638364160356154,9
"FakeGeneID029239",-0.821902000077623,-0.93662955422088,1.00889170585429,0.749639848444216,7
"FakeGeneID018670",0.892712412225958,0.787068058781562,-0.734888881116313,-0.944891589891207,1
"FakeGeneID014061",0.992220116678427,0.725378666941774,-0.745176362897211,-0.972422420722988,1
"FakeGeneID035989",0.983158634719663,0.860127642574944,-0.858151040564945,-0.985135236729661,8
"FakeGeneID029427",-0.303722014478327,-0.902125019538194,-0.0170187427870709,1.22286577680359,6
"FakeGeneID030203",-0.894603629135066,-0.891171371444726,0.905678926998853,0.880096073580938,7
"FakeGeneID003867",0.892353801114381,0.933477953039472,-0.914496382865637,-0.911335371288212,8
"FakeGeneID023877",1.10338264570491,0.656261581488475,-1.0242351618777,-0.735409065315692,8
"FakeGeneID000844",0.878993546162632,0.966881340689661,-0.920758879250559,-0.925116007601736,8
"FakeGeneID022297",-1.03143489079063,-0.585595959305771,0.702849977320562,0.914180872775839,9
"FakeGeneID014387",-0.907155254963427,-0.661114688456642,1.15563386914002,0.412636074280048,4
"FakeGeneID017366",0.527765335229706,0.991681341727998,-0.797053406001787,-0.722393270955916,8
"FakeGeneID003850",-0.950764831687334,-0.78031073394851,0.951860219413512,0.779215346222333,7
"FakeGeneID007454",-0.672903810866117,-0.874618643031008,0.286137799895224,1.2613846540019,3
"FakeGeneID009376",0.852549602883177,0.521060847715685,-0.414309390817597,-0.959301059781264,1
"FakeGeneID020219",-1.1521587372662,-0.309778309108152,0.626916593164117,0.835020453210232,9
"FakeGeneID015753",-0.885439661760077,-0.925141252639474,0.691216556446723,1.11936435795283,3
"FakeGeneID026269",0.141807806833165,0.819426747258949,0.0256192555244183,-0.986853809616535,2
"FakeGeneID032505",0.780580370696974,1.03072823265218,-1.03934303421324,-0.771965569135909,8
"FakeGeneID011664",-0.879017362768177,-0.950931368518264,0.97041925939873,0.859529471887712,7
"FakeGeneID027622",-1.09485615590185,-0.73445078282969,0.925351210756694,0.903955727974848,7
"FakeGeneID016070",-1.24845628700759,-0.170897280819252,0.601622181319006,0.817731386507838,9
"FakeGeneID012438",-0.895147836806303,-0.561446653691013,0.679014339681971,0.777580150815345,9
"FakeGeneID029591",-0.810798771589569,-0.540299215401002,0.519733570348017,0.831364416642552,9
"FakeGeneID003286",-0.753634219177895,-1.01837462407418,0.839334823378268,0.93267401987381,7
